Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Balwin Johannesburg","","",,"",68641.8776,55.0000,0.0000,55.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Balwin KwaZulu-Natal","","",,"",67853.0408,53.0000,0.0000,53.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,1712.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Block Power","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Lenz Industries","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Madikwe Estate","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Plentify JHB","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Plentify Office - Oude Molen","","",,"",24897.3037,14.0000,0.0000,13.0000,0.0000,0.0000,1.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v26x-PFY","HotBot Kit 04 v26x - flow, wetness, PLENTIFY branded","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-06-v253-PFY","HotBot Kit 06 v25x - flow, valve, wetness, PLENTIFY branded","Plentify JHB","","",,"",50473.2842,25.0000,0.0000,25.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-06-v253-PFY","HotBot Kit 06 v25x - flow, valve, wetness, PLENTIFY branded","Plentify Office - Oude Molen","","",,"",16322.9792,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-06-v253-PFY","HotBot Kit 06 v25x - flow, valve, wetness, PLENTIFY branded","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-06-v253-PFY","HotBot Kit 06 v25x - flow, valve, wetness, PLENTIFY branded","Plentify Office 215","Assembled kits","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
